Speaker 1,Speaker 2,Text
Harry,Hedwig,"I can't, Hedwig. I'm not allowed 
 to use magic outside of school. 
 Besides, if Uncle Vernon -- "
Uncle Vernon,Harry,Har-ry Pot-ter!
Harry,Hedwig,Now you've done it.
Uncle Vernon,Harry,"I warned you. If you can't 
 control that bloody bird, it'll 
 have to go"
Harry,Uncle Vernon,"She's bored. If I could just let 
 her out for an hour or two --"
Uncle Vernon,Harry,"And have you sending secret 
 messages to your freaky little 
 friends? No, sir."
Harry,Uncle Vernon,"But I haven't gotten any messages.
 From any of my friends. Not one.
 All summer."
Dudley,Harry,Who'd want to be friends with you?
Uncle Vernon,Harry,"I should think you'd be more 
 grateful. We raise you since you 
 were a baby, give you food off our 
 table, even let you have Dudley's 
 second bedroom... purely out of 
 the goodness of our hearts."
Dudley,Uncle Vernon,"I thought he got the second 
 bedroom because Mum was afraid 
 he'd turn us into dung beetles if 
 you put him back in the cupboard 
 under the stairs. 
"
Aunt Petunia,Dudley,"Not yet, popkin. That's for when 
 the Masons arrive."
Uncle Vernon,Aunt Petunia,"Which should be any moment. Now. 
 Let's run through our schedule one 
 more time. Petunia, when the 
 Masons get here, you will be --"
Aunt Petunia,Uncle Vernon,"In the lounge, waiting to welcome 
 them graciously to our home."
Uncle Vernon,Dudley,Good. And Dudley?
Dudley,Uncle Vernon,I'll be waiting to open the door.
Uncle Vernon,Dudley,Excellent. 
Uncle Vernon,Harry,And you
Harry,Uncle Vernon,"I'll be in my bedroom, making no 
 noise and pretending I don't 
 exist."
Uncle Vernon,Harry,"Too right you will. With any 
 luck, this could well be the day I 
 make the biggest deal of my 
 career. "
Uncle Vernon,Harry,Upstairs! Hurry!
Dobby,Harry,"Harry Potter! Such an honor it 
 is!"
Harry,Dobby,What... Who are you?
Dobby,Harry,"Dobby, sir. Dobby the house elf"
Harry,Dobby,"I see. Not to be rude or 
 anything, but this isn't a great 
 time for me to have a house-elf in 
 my bedroom."
Dobby,Harry,"Oh, yes, sir, Dobby understands. 
 It's just that, Dobby has come to 
 tell you... it is difficult, sir... 
 Dobby wonders where to begin."
Harry,Dobby,Why don't you sit down?
Dobby,Harry,S-s-sit down? 
Harry,Dobby,"Shhhh! I'm sorry. I didn't mean 
 to offend you or anything --"
Dobby,Harry,"Offend Dobby! Dobby has heard of 
 your greatness, sir, but never has 
 he been asked to sit down by a 
 wizard, like an equal..."
Harry,Dobby,"You can't have met many decent 
 wizards then"
Dobby,Dobby,Bad Dobby! Bad Dobby!
Uncle Vernon,Mr. Mason,"Don't mind that. It's just the... 
 cat."
Dudley,Uncle Vernon,Cat? What cat?
Uncle Vernon,Dudley,"Our cat, tiger."
Harry,Dobby,Are you... all right?
Dobby,Harry,"DOBBY, sir. Dobby the house elf"
Harry,Dobby,Your... family?
Dobby,Harry,"The wizard family Dobby serves, 
 sir. Dobby is bound to serve one 
 family forever. If they ever knew 
 Dobby was here... 
"
Dobby,Harry,"But Dobby had to come. Dobby has 
 to protect Harry Potter. To warn 
 him. 

 Harry Potter must not go back to 
 Hogwarts School of Witchcraft and 
 Wizardry this year."
Harry,Dobby,Not go back? But... I have to.
Dobby,Harry,"This is a plot. A plot to make 
 most terrible things happen. If 
 Harry Potter goes back to school 
 he will be in great danger."
Harry,Dobby,"What terrible things? Who's 
 plotting them?"
Harry,Dobby,"Okay! I understand. You can't 
 say -- 
"
Uncle Vernon,Mr. Mason,"They arrive at the ninth hole 
 and -- 
"
Mr. Mason,Uncle Vernon,"Sounds as if that cat of yours has 
 dragged something in with it, 
 Dursley."
